Age	Height	Club_country	Nation_team	Position	Captain	Cost	Minutes_in_game	Games_count	Goals_count
Aug 5, 2004 (20)	1,73 m	Spain	Spain	Central Midfield	False	€90.00m Last update: Jun 7, 2024			
Nov 16, 1997 (26)	1,82 m	England	Brazil	Defensive Midfield	False	€85.00m Last update: May 27, 2024	747'	9	-
Jan 27, 2000 (24)	1,88 m	Spain	France	Defensive Midfield	False	€100.00m Last update: Jun 7, 2024	943'	11	-
Sep 5, 2001 (23)	1,78 m	England	England	Right Winger	False	€140.00m Last update: May 27, 2024	803'	10	3
Feb 26, 2003 (21)	1,84 m	Germany	Germany	Attacking Midfield	False	€130.00m Last update: Jul 18, 2024	565'	8	3
Jun 29, 2003 (21)	1,86 m	Spain	England	Attacking Midfield	False	€180.00m Last update: Jun 7, 2024	699'	8	-
May 6, 2002 (22)	1,89 m	England	England	Attacking Midfield	False	€90.00m Last update: Oct 1, 2024	645'	9	6
Jul 21, 2000 (24)	1,95 m	England	Norway	Centre-Forward	False	€200.00m Last update: Oct 1, 2024	871'	10	11
Nov 10, 2002 (21)	1,82 m	Spain	France	Central Midfield	False	€100.00m Last update: Jun 7, 2024	138'	2	-
Aug 22, 1997 (27)	1,74 m	Italy	Argentina	Centre-Forward	True	€110.00m Last update: Jun 5, 2024	541'	8	3
Apr 21, 2003 (21)	1,79 m	Germany	Netherlands	Attacking Midfield	False	€80.00m Last update: May 29, 2024	788'	9	2
Jan 9, 2001 (23)	1,74 m	Spain	Brazil	Right Winger	False	€110.00m Last update: Jun 7, 2024	771'	11	3
Dec 17, 1998 (25)	1,78 m	England	Norway	Attacking Midfield	True	€110.00m Last update: May 27, 2024	254'	3	-
Dec 20, 1998 (25)	1,78 m	Spain	France	Centre-Forward	False	€180.00m Last update: Jun 3, 2024	887'	11	7
Jun 10, 1999 (25)	1,88 m	Italy	Portugal	Left Winger	False	€90.00m Last update: Jun 5, 2024	694'	9	1
Nov 25, 2002 (21)	1,74 m	Spain	Spain	Central Midfield	False	€80.00m Last update: Jun 7, 2024	735'	11	2
Jun 22, 1996 (28)	1,91 m	England	Spain	Defensive Midfield	False	€130.00m Last update: Jul 18, 2024	156'	3	-
Jul 12, 2000 (24)	1,76 m	Spain	Brazil	Left Winger	False	€200.00m Last update: Oct 11, 2024	997'	12	4
Jul 22, 1998 (26)	1,82 m	Spain	Uruguay	Central Midfield	False	€130.00m Last update: Oct 11, 2024	1.059'	12	3
Jan 14, 1999 (25)	1,88 m	England	England	Defensive Midfield	False	€120.00m Last update: May 27, 2024	736'	9	1
Jul 13, 2007 (17)	1,80 m	Spain	Spain	Right Winger	False	€150.00m Last update: Oct 11, 2024	879'	11	5
Feb 12, 2001 (23)	1,83 m	Italy	Georgia	Left Winger	False	€80.00m Last update: Jun 5, 2024	630'	9	3
May 3, 2003 (21)	1,77 m	Germany	Germany	Attacking Midfield	False	€130.00m Last update: May 29, 2024	740'	10	6
Jul 28, 1993 (31)	1,88 m	Germany	England	Centre-Forward	False	€100.00m Last update: May 29, 2024	711'	9	10
May 28, 2000 (24)	1,71 m	England	England	Right Winger	False	€150.00m Last update: May 27, 2024	380'	7	1
Jan 13, 1997 (27)	1,80 m	England	Colombia	Left Winger	False	€80.00m Last update: Oct 1, 2024	545'	9	5
May 14, 1997 (27)	1,87 m	England	Portugal	Centre-Back	False	€80.00m Last update: May 27, 2024	755'	10	-
Apr 13, 1999 (25)	1,90 m	Italy	Italy	Centre-Back	False	€70.00m Last update: Jun 5, 2024	644'	8	-
Dec 29, 1998 (25)	1,86 m	Türkiye	Nigeria	Centre-Forward	False	€75.00m Last update: Oct 4, 2024	303'	4	2
Jan 17, 2001 (23)	1,78 m	England	Argentina	Central Midfield	False	€75.00m Last update: May 27, 2024	609'	8	-
Feb 7, 1997 (27)	1,75 m	Italy	Italy	Central Midfield	False	€80.00m Last update: Jun 5, 2024	405'	5	1
Jun 4, 1998 (26)	1,87 m	Portugal	Sweden	Centre-Forward	False	€70.00m Last update: Oct 8, 2024	1.005'	11	12
May 9, 1998 (26)	1,77 m	Italy	Brazil	Central Midfield	False	€70.00m Last update: May 27, 2024	222'	8	-
Dec 19, 1997 (26)	1,90 m	England	Brazil	Centre-Back	False	€75.00m Last update: Oct 1, 2024	838'	10	2
Sep 2, 2002 (22)	1,82 m	France	France	Left Winger	False	€65.00m Last update: Oct 7, 2024	620'	9	6
Jul 12, 2002 (22)	1,81 m	Spain	Spain	Left Winger	False	€70.00m Last update: Jul 18, 2024	551'	9	1
Oct 25, 2000 (23)	1,87 m	England	Hungary	Central Midfield	False	€75.00m Last update: May 27, 2024	715'	9	1
Aug 10, 1994 (30)	1,73 m	England	Portugal	Attacking Midfield	False	€70.00m Last update: May 27, 2024	636'	9	1
Dec 12, 2001 (22)	1,84 m	Germany	France	Right Winger	False	€65.00m Last update: Oct 9, 2024	564'	9	6
Mar 7, 1999 (25)	1,92 m	Spain	Uruguay	Centre-Back	False	€70.00m Last update: Jun 7, 2024			
Oct 7, 1998 (26)	1,75 m	England	England	Right-Back	False	€70.00m Last update: May 27, 2024	749'	9	-
Jan 23, 2002 (22)	1,85 m	England	Croatia	Left-Back	False	€75.00m Last update: May 27, 2024	855'	11	1
Dec 24, 1998 (25)	1,76 m	England	Argentina	Central Midfield	False	€75.00m Last update: May 27, 2024	767'	10	1
Jun 11, 1999 (25)	1,93 m	England	Germany	Centre-Forward	False	€75.00m Last update: Oct 1, 2024	838'	10	6
Mar 24, 2001 (23)	1,92 m	England	France	Centre-Back	False	€80.00m Last update: May 27, 2024	810'	9	-
Nov 23, 1996 (27)	1,75 m	England	England	Attacking Midfield	False	€70.00m Last update: May 27, 2024	622'	9	2
Sep 21, 1999 (25)	1,92 m	England	Sweden	Centre-Forward	False	€75.00m Last update: May 27, 2024	495'	6	1
Jan 31, 2000 (24)	1,70 m	Spain	Argentina	Centre-Forward	False	€75.00m Last update: Oct 11, 2024	635'	11	3
Feb 4, 2003 (21)	1,91 m	England	Denmark	Centre-Forward	False	€65.00m Last update: May 27, 2024	174'	5	1
Nov 2, 2001 (22)	1,78 m	England	Ecuador	Defensive Midfield	False	€75.00m Last update: May 27, 2024	727'	9	-
May 12, 1997 (27)	1,81 m	Spain	Netherlands	Central Midfield	False	€60.00m Last update: Oct 11, 2024	24'	2	-
Jan 28, 2000 (24)	1,90 m	Italy	Serbia	Centre-Forward	False	€65.00m Last update: Jun 5, 2024	758'	9	7
Jun 18, 2001 (23)	1,78 m	England	Brazil	Left Winger	False	€60.00m Last update: Oct 1, 2024	641'	10	2
Jun 24, 1999 (25)	1,87 m	England	Uruguay	Centre-Forward	False	€65.00m Last update: Oct 1, 2024	307'	7	1
May 15, 1997 (27)	1,78 m	France	France	Right Winger	False	€60.00m Last update: Jun 3, 2024	522'	8	4
Jul 21, 2006 (18)	1,73 m	Spain	Brazil	Centre-Forward	False	€60.00m Last update: Jun 17, 2024	107'	9	2
Nov 4, 1998 (25)	1,81 m	France	Morocco	Right-Back	False	€60.00m Last update: Jun 3, 2024	714'	8	1
May 27, 2002 (22)	1,73 m	England	Belgium	Left Winger	False	€65.00m Last update: May 27, 2024	544'	10	2
