% Top 10_00 player by price
@RELATION players

@ATTRIBUTE age INTEGER
@ATTRIBUTE "height,meters" REAL
@ATTRIBUTE club_country {Turkiye, Italy, France, Spain, Netherlands, Germany, Portugal, Saudi_arabia, Brazil, Ukraine, England}
@ATTRIBUTE national_team {Hungary, France, Jamaica, Croatia, Sweden, Switzerland, Burkina_faso, England, Morocco, Uruguay, Spain, Algeria, Guinea, Norway, Georgia, Ghana, Mali, Ukraine, Slovakia, Slovenia, Senegal, Nigeria, Belgium, Argentina, Germany, Portugal, Brazil, Denmark, Ivory_coast, South_korea, Usa, Colombia, Ecuador, Italy, Turkiye, Egypt, Mexico, Cote_d_ivoire, Netherlands, Ireland, Cameroon, Japan, Wales, Canada, Serbia}
@ATTRIBUTE position {second-striker, left-winger, centre-forward, centre-back, goalkeeper, defensive-midfield, right-back, right-midfield, left-back, central-midfield, attacking-midfield, right-winger}
@ATTRIBUTE captain {TRUE, FALSE}
@ATTRIBUTE "cost,million_euros" REAL
@ATTRIBUTE "play_time,minutes" INTEGER
@ATTRIBUTE games_amount INTEGER
@ATTRIBUTE goals_amount INTEGER

@DATA
20,1.73,Spain,Spain,central-midfield,FALSE,90.0,?,?,?
26,1.82,England,Brazil,defensive-midfield,FALSE,85.0,747,9,?
24,1.88,Spain,France,defensive-midfield,FALSE,100.0,943,11,?
23,1.78,England,England,right-winger,FALSE,140.0,803,10,3
21,1.84,Germany,Germany,attacking-midfield,FALSE,130.0,565,8,3
21,1.86,Spain,England,attacking-midfield,FALSE,180.0,699,8,?
22,1.89,England,England,attacking-midfield,FALSE,90.0,645,9,6
24,1.95,England,Norway,centre-forward,FALSE,200.0,871,10,11
21,1.82,Spain,France,central-midfield,FALSE,100.0,138,2,?
27,1.74,Italy,Argentina,centre-forward,TRUE,110.0,541,8,3
21,1.79,Germany,Netherlands,attacking-midfield,FALSE,80.0,788,9,2
23,1.74,Spain,Brazil,right-winger,FALSE,110.0,771,11,3
25,1.78,England,Norway,attacking-midfield,TRUE,110.0,254,3,?
25,1.78,Spain,France,centre-forward,FALSE,180.0,887,11,7
25,1.88,Italy,Portugal,left-winger,FALSE,90.0,694,9,1
21,1.74,Spain,Spain,central-midfield,FALSE,80.0,735,11,2
28,1.91,England,Spain,defensive-midfield,FALSE,130.0,156,3,?
24,1.76,Spain,Brazil,left-winger,FALSE,200.0,997,12,4
26,1.82,Spain,Uruguay,central-midfield,FALSE,130.0,1059,12,3
25,1.88,England,England,defensive-midfield,FALSE,120.0,736,9,1
17,1.8,Spain,Spain,right-winger,FALSE,150.0,879,11,5
23,1.83,Italy,Georgia,left-winger,FALSE,80.0,630,9,3
21,1.77,Germany,Germany,attacking-midfield,FALSE,130.0,740,10,6
31,1.88,Germany,England,centre-forward,FALSE,100.0,711,9,10
24,1.71,England,England,right-winger,FALSE,150.0,380,7,1
27,1.8,England,Colombia,left-winger,FALSE,80.0,545,9,5
27,1.87,England,Portugal,centre-back,FALSE,80.0,755,10,?
25,1.9,Italy,Italy,centre-back,FALSE,70.0,644,8,?
25,1.86,Turkiye,Nigeria,centre-forward,FALSE,75.0,303,4,2
23,1.78,England,Argentina,central-midfield,FALSE,75.0,609,8,?
27,1.75,Italy,Italy,central-midfield,FALSE,80.0,405,5,1
26,1.87,Portugal,Sweden,centre-forward,FALSE,70.0,1005,11,12
26,1.77,Italy,Brazil,central-midfield,FALSE,70.0,222,8,?
26,1.9,England,Brazil,centre-back,FALSE,75.0,838,10,2
22,1.82,France,France,left-winger,FALSE,65.0,620,9,6
22,1.81,Spain,Spain,left-winger,FALSE,70.0,551,9,1
23,1.87,England,Hungary,central-midfield,FALSE,75.0,715,9,1
30,1.73,England,Portugal,attacking-midfield,FALSE,70.0,636,9,1
22,1.84,Germany,France,right-winger,FALSE,65.0,564,9,6
25,1.92,Spain,Uruguay,centre-back,FALSE,70.0,?,?,?
26,1.75,England,England,right-back,FALSE,70.0,749,9,?
22,1.85,England,Croatia,left-back,FALSE,75.0,855,11,1
25,1.76,England,Argentina,central-midfield,FALSE,75.0,767,10,1
25,1.93,England,Germany,centre-forward,FALSE,75.0,838,10,6
23,1.92,England,France,centre-back,FALSE,80.0,810,9,?
27,1.75,England,England,attacking-midfield,FALSE,70.0,622,9,2
25,1.92,England,Sweden,centre-forward,FALSE,75.0,495,6,1
24,1.7,Spain,Argentina,centre-forward,FALSE,75.0,635,11,3
21,1.91,England,Denmark,centre-forward,FALSE,65.0,174,5,1
22,1.78,England,Ecuador,defensive-midfield,FALSE,75.0,727,9,?
27,1.81,Spain,Netherlands,central-midfield,FALSE,60.0,24,2,?
24,1.9,Italy,Serbia,centre-forward,FALSE,65.0,758,9,7
23,1.78,England,Brazil,left-winger,FALSE,60.0,641,10,2
25,1.87,England,Uruguay,centre-forward,FALSE,65.0,307,7,1
27,1.78,France,France,right-winger,FALSE,60.0,522,8,4
18,1.73,Spain,Brazil,centre-forward,FALSE,60.0,107,9,2
25,1.81,France,Morocco,right-back,FALSE,60.0,714,8,1
22,1.73,England,Belgium,left-winger,FALSE,65.0,544,10,2
27,1.76,Spain,Brazil,right-winger,FALSE,60.0,931,11,6
26,1.85,England,Argentina,centre-back,FALSE,65.0,720,8,1
27,1.92,Italy,France,centre-forward,FALSE,65.0,618,8,7
26,1.85,England,England,left-winger,FALSE,60.0,754,11,4
18,1.78,France,France,central-midfield,FALSE,60.0,689,8,1
27,1.88,Italy,Brazil,centre-back,FALSE,60.0,637,8,?
25,1.81,Spain,Spain,defensive-midfield,FALSE,60.0,855,10,1
26,1.86,Spain,Brazil,centre-back,FALSE,60.0,921,12,1
27,1.84,Italy,France,left-back,FALSE,60.0,665,9,2
26,1.78,England,England,attacking-midfield,FALSE,60.0,810,9,3
23,1.83,England,England,left-winger,FALSE,60.0,659,9,2
20,1.74,France,Portugal,defensive-midfield,FALSE,60.0,645,9,?
24,1.77,Germany,Belgium,centre-forward,FALSE,60.0,743,9,5
26,1.79,Spain,Spain,attacking-midfield,FALSE,60.0,189,3,3
26,1.77,England,France,centre-forward,FALSE,65.0,430,11,7
28,1.8,England,England,centre-forward,FALSE,65.0,666,9,4
30,1.79,England,Portugal,attacking-midfield,TRUE,65.0,860,11,?
28,1.83,Germany,Germany,right-winger,FALSE,60.0,78,4,1
21,1.74,Spain,Spain,central-midfield,FALSE,50.0,57,3,?
20,1.76,England,Brazil,right-winger,FALSE,50.0,500,9,?
27,1.75,England,Brazil,centre-forward,FALSE,55.0,243,8,?
23,1.95,England,Belgium,defensive-midfield,FALSE,55.0,637,9,3
24,1.73,England,Portugal,right-winger,FALSE,55.0,441,10,2
25,1.7,Saudi_arabia,France,right-winger,FALSE,55.0,559,7,?
19,1.8,England,England,central-midfield,FALSE,55.0,644,9,?
18,1.9,England,France,centre-back,FALSE,55.0,?,?,?
23,1.88,England,Brazil,centre-forward,FALSE,50.0,281,4,2
32,1.75,England,Egypt,right-winger,FALSE,55.0,817,10,6
27,1.8,England,Brazil,attacking-midfield,FALSE,55.0,591,9,2
21,1.87,England,England,centre-back,FALSE,50.0,630,7,?
21,1.95,Germany,Slovenia,centre-forward,FALSE,50.0,685,9,6
20,1.88,Germany,Germany,defensive-midfield,FALSE,50.0,657,8,1
24,1.86,England,Sweden,attacking-midfield,FALSE,55.0,614,10,1
27,1.86,England,England,right-back,FALSE,55.0,495,6,?
24,1.72,France,Portugal,central-midfield,FALSE,55.0,486,7,1
23,1.93,England,Netherlands,centre-back,FALSE,55.0,621,7,?
20,1.8,England,Argentina,left-winger,FALSE,50.0,593,11,4
22,1.83,France,Portugal,left-back,FALSE,55.0,430,6,1
25,1.8,Spain,France,right-back,FALSE,55.0,923,11,1
25,1.93,England,Netherlands,left-winger,FALSE,55.0,383,10,2
25,1.89,England,Netherlands,centre-back,FALSE,55.0,492,9,1
29,1.8,England,England,left-winger,FALSE,55.0,522,9,?
23,1.9,Germany,Nigeria,centre-forward,FALSE,45.0,593,9,6
26,1.84,Italy,Netherlands,attacking-midfield,FALSE,50.0,540,7,?
23,1.85,Germany,Canada,left-back,FALSE,50.0,571,8,?
27,1.76,England,England,right-winger,TRUE,50.0,777,9,3
23,1.85,France,Portugal,centre-forward,FALSE,50.0,20,1,?
24,1.77,England,Ghana,attacking-midfield,FALSE,50.0,607,9,1
28,1.89,England,Spain,central-midfield,FALSE,50.0,55,2,?
24,1.82,Spain,England,central-midfield,FALSE,50.0,578,9,2
20,1.94,Italy,Italy,centre-back,FALSE,45.0,?,?,?
30,1.83,France,Brazil,centre-back,TRUE,50.0,628,8,?
26,1.75,Italy,Italy,left-back,FALSE,50.0,572,7,1
29,1.77,Germany,Germany,defensive-midfield,FALSE,50.0,810,9,?
28,1.85,Saudi_arabia,England,centre-forward,FALSE,50.0,619,7,3
19,1.88,England,Ireland,centre-forward,FALSE,45.0,85,4,?
26,1.75,England,Argentina,centre-back,FALSE,50.0,786,9,?
23,1.73,Spain,Japan,right-winger,FALSE,50.0,677,10,2
29,1.9,Germany,Portugal,defensive-midfield,FALSE,50.0,154,6,?
23,1.82,England,Uruguay,defensive-midfield,FALSE,50.0,256,5,?
23,1.74,Spain,Spain,left-winger,FALSE,50.0,580,8,1
23,1.72,Germany,Netherlands,right-midfield,FALSE,50.0,631,10,1
28,1.86,Italy,France,centre-back,FALSE,50.0,510,7,?
19,1.75,Spain,Turkiye,right-winger,FALSE,45.0,291,10,?
23,1.86,England,Wales,right-winger,FALSE,48.0,659,10,6
23,1.93,England,Netherlands,centre-forward,FALSE,50.0,510,10,1
27,1.78,England,Portugal,centre-forward,FALSE,50.0,623,9,4
22,1.84,England,Senegal,central-midfield,FALSE,45.0,473,10,2
27,1.86,England,England,centre-forward,FALSE,45.0,604,8,3
26,1.78,Germany,Argentina,central-midfield,FALSE,45.0,99,5,?
21,1.88,England,Italy,left-back,FALSE,45.0,691,9,?
24,1.97,Spain,Georgia,goalkeeper,FALSE,45.0,810,9,?
25,1.73,England,Spain,right-back,FALSE,45.0,718,8,1
25,1.94,Germany,Burkina_faso,centre-back,FALSE,45.0,896,10,?
25,1.94,England,France,centre-back,FALSE,45.0,750,9,2
25,1.86,Germany,France,centre-back,FALSE,45.0,805,9,1
29,1.71,Germany,Spain,left-back,FALSE,45.0,760,10,2
27,1.92,England,Spain,centre-back,FALSE,45.0,810,9,?
23,1.86,Portugal,Portugal,centre-back,FALSE,45.0,753,10,1
24,1.82,England,England,centre-back,FALSE,45.0,810,9,1
24,1.78,France,Canada,centre-forward,FALSE,45.0,983,13,8
22,1.88,England,Italy,centre-back,FALSE,45.0,473,8,1
25,1.86,Portugal,Portugal,goalkeeper,FALSE,45.0,1020,11,?
25,1.83,England,Brazil,centre-forward,FALSE,45.0,570,8,3
32,1.84,England,South_korea,left-winger,TRUE,45.0,549,7,2
30,1.78,Italy,Turkiye,defensive-midfield,FALSE,45.0,613,8,2
27,1.78,England,Japan,left-winger,FALSE,45.0,624,7,1
24,1.95,England,Netherlands,centre-back,FALSE,45.0,?,?,?
27,1.9,Germany,South_korea,centre-back,FALSE,45.0,776,9,1
33,1.81,England,Belgium,attacking-midfield,FALSE,45.0,404,6,1
21,1.79,Netherlands,Belgium,right-winger,FALSE,45.0,734,10,2
29,1.88,England,Switzerland,centre-back,FALSE,45.0,843,10,?
25,1.83,Italy,Brazil,central-midfield,FALSE,40.0,868,10,1
17,1.76,Brazil,Brazil,right-winger,FALSE,40.0,?,?,?
22,1.78,England,Netherlands,left-back,FALSE,40.0,241,10,?
22,1.95,England,England,centre-back,FALSE,42.0,180,2,?
19,1.83,Germany,France,left-winger,FALSE,40.0,158,5,?
17,1.84,Spain,Spain,centre-back,FALSE,40.0,808,11,?
19,1.81,France,France,left-winger,FALSE,40.0,236,6,?
22,1.75,Germany,France,attacking-midfield,FALSE,42.0,683,9,5
23,1.87,France,Ecuador,centre-back,FALSE,40.0,747,9,?
26,1.83,England,Portugal,central-midfield,FALSE,40.0,228,7,1
27,1.78,England,Jamaica,right-winger,FALSE,42.0,447,8,?
21,1.84,Germany,France,centre-back,FALSE,40.0,648,8,?
20,1.87,Portugal,Portugal,centre-back,FALSE,40.0,544,7,1
25,1.87,France,France,centre-forward,FALSE,40.0,366,9,2
19,1.69,England,England,right-back,FALSE,40.0,846,10,?
23,1.83,Netherlands,Mexico,centre-forward,FALSE,40.0,497,7,4
20,1.9,Portugal,Ivory_coast,centre-back,FALSE,40.0,700,10,?
25,1.85,Portugal,Denmark,defensive-midfield,TRUE,40.0,762,9,?
22,1.84,England,Brazil,centre-back,FALSE,40.0,630,7,?
23,1.76,England,Brazil,central-midfield,FALSE,40.0,637,8,?
22,1.84,Germany,Ecuador,centre-back,FALSE,40.0,691,9,1
24,1.88,Spain,Spain,attacking-midfield,FALSE,40.0,630,9,5
23,1.87,England,Senegal,centre-forward,FALSE,40.0,555,8,4
20,1.75,Spain,Spain,left-back,FALSE,40.0,726,10,?
22,1.9,England,Netherlands,central-midfield,FALSE,40.0,810,9,?
27,1.81,Spain,Spain,centre-forward,TRUE,40.0,515,9,?
26,1.85,Italy,England,centre-back,FALSE,40.0,714,8,?
23,1.79,England,Netherlands,centre-back,FALSE,38.0,568,8,?
25,1.83,England,Portugal,right-back,FALSE,40.0,963,11,?
29,1.8,England,Netherlands,centre-back,FALSE,40.0,3,2,?
27,1.94,England,England,centre-back,FALSE,38.0,810,9,?
26,1.77,Italy,Usa,right-winger,FALSE,40.0,720,9,6
26,1.96,Germany,Switzerland,goalkeeper,FALSE,40.0,765,9,?
25,1.83,Germany,Egypt,centre-forward,FALSE,40.0,747,9,9
28,1.87,Germany,Guinea,centre-forward,FALSE,40.0,443,6,6
27,1.84,Spain,Spain,attacking-midfield,FALSE,40.0,484,8,1
25,1.76,Germany,Netherlands,right-winger,FALSE,40.0,281,7,1
25,1.7,Spain,Morocco,attacking-midfield,FALSE,40.0,126,6,1
28,1.84,France,France,left-back,FALSE,40.0,?,?,?
24,1.71,England,England,attacking-midfield,FALSE,40.0,510,6,1
28,1.85,Germany,Germany,attacking-midfield,FALSE,40.0,718,9,1
28,1.81,Germany,France,left-winger,FALSE,40.0,298,8,1
24,1.91,Germany,Germany,centre-back,FALSE,40.0,703,8,?
25,1.96,France,Italy,goalkeeper,FALSE,40.0,540,6,?
28,1.86,England,Brazil,central-midfield,FALSE,40.0,721,9,1
27,1.87,Spain,Spain,centre-back,FALSE,40.0,720,8,?
29,1.76,Germany,Germany,left-winger,FALSE,40.0,648,9,2
25,1.71,England,Cameroon,right-winger,FALSE,40.0,644,8,6
24,1.81,England,Italy,central-midfield,FALSE,38.0,293,6,?
26,1.74,Italy,Nigeria,second-striker,FALSE,40.0,522,7,3
24,1.84,England,France,defensive-midfield,FALSE,38.0,?,?,?
23,1.81,France,England,right-winger,FALSE,35.0,619,7,5
25,1.83,England,Brazil,centre-forward,FALSE,35.0,490,8,1
20,1.77,Germany,England,left-winger,FALSE,35.0,459,9,4
24,1.9,England,France,centre-back,FALSE,35.0,322,6,?
20,1.85,England,Colombia,centre-forward,FALSE,35.0,324,10,6
21,1.7,England,England,central-midfield,FALSE,35.0,7,1,?
20,1.93,Portugal,Spain,centre-forward,FALSE,35.0,466,7,7
22,1.82,England,England,right-winger,FALSE,35.0,576,8,5
22,1.8,Germany,Germany,left-winger,FALSE,35.0,510,8,5
21,1.82,England,England,right-back,FALSE,35.0,467,9,?
23,1.91,Italy,Cote_d_ivoire,centre-back,FALSE,35.0,236,3,?
24,1.8,England,Mali,defensive-midfield,FALSE,35.0,161,4,?
23,1.8,England,Algeria,left-back,FALSE,35.0,629,8,2
30,1.88,England,England,centre-back,FALSE,38.0,328,6,1
24,1.87,Saudi_arabia,France,centre-back,FALSE,35.0,659,9,?
26,1.8,Italy,Argentina,right-winger,FALSE,35.0,307,6,1
23,1.92,Italy,France,central-midfield,FALSE,35.0,212,6,?
29,1.91,Italy,France,goalkeeper,FALSE,38.0,771,9,?
22,1.77,Ukraine,Ukraine,attacking-midfield,FALSE,35.0,875,10,7
23,1.77,Portugal,Argentina,defensive-midfield,FALSE,35.0,903,10,?
24,1.8,England,England,right-back,TRUE,35.0,?,?,?
21,1.78,England,France,right-back,FALSE,35.0,491,7,?
20,1.81,England,Belgium,defensive-midfield,FALSE,35.0,84,3,?
22,1.82,Netherlands,Netherlands,centre-forward,FALSE,35.0,463,11,1
28,1.9,Spain,Morocco,centre-back,FALSE,35.0,471,6,?
25,1.95,Italy,Italy,centre-forward,FALSE,35.0,?,?,?
28,1.9,England,Cameroon,goalkeeper,FALSE,35.0,900,10,?
25,1.78,Italy,Italy,central-midfield,FALSE,35.0,379,9,1
27,1.85,Netherlands,Netherlands,defensive-midfield,FALSE,35.0,713,9,2
26,1.9,England,Mexico,defensive-midfield,FALSE,35.0,381,7,?
25,1.88,England,Japan,right-back,FALSE,35.0,6,1,?
27,1.84,England,Brazil,centre-forward,FALSE,35.0,25,2,?
28,1.94,England,Italy,goalkeeper,FALSE,35.0,810,9,?
25,1.9,Italy,Italy,centre-back,FALSE,35.0,630,7,1
27,1.89,Italy,Ukraine,centre-forward,FALSE,35.0,719,9,4
26,1.83,England,England,centre-back,FALSE,35.0,732,9,1
23,1.85,England,England,central-midfield,FALSE,35.0,244,6,?
28,1.82,England,Mali,defensive-midfield,FALSE,35.0,354,6,1
29,1.83,England,Spain,goalkeeper,FALSE,35.0,810,9,?
25,1.81,England,England,attacking-midfield,FALSE,35.0,215,5,?
28,1.89,France,Spain,central-midfield,FALSE,35.0,393,8,1
27,1.87,England,Uruguay,defensive-midfield,FALSE,35.0,495,8,?
23,1.79,Netherlands,Netherlands,central-midfield,TRUE,35.0,701,9,2
31,1.88,England,Brazil,goalkeeper,FALSE,35.0,810,9,?
26,1.82,England,England,left-winger,FALSE,35.0,521,9,3
25,1.85,Netherlands,Netherlands,central-midfield,FALSE,35.0,672,9,1
28,1.92,England,Denmark,centre-back,FALSE,35.0,540,6,?
26,1.9,England,France,centre-back,FALSE,35.0,415,6,?
26,1.88,Netherlands,Slovakia,centre-back,FALSE,35.0,900,10,1
28,1.9,Spain,Morocco,centre-back,FALSE,35.0,471,6,?
29,1.83,England,Spain,goalkeeper,FALSE,35.0,810,9,?
23,1.79,Netherlands,Netherlands,central-midfield,TRUE,35.0,701,9,2
27,1.89,Italy,Ukraine,centre-forward,FALSE,35.0,719,9,4
23,1.85,England,England,central-midfield,FALSE,35.0,244,6,?
28,1.92,England,Denmark,centre-back,FALSE,35.0,540,6,?
26,1.88,Netherlands,Slovakia,centre-back,FALSE,35.0,900,10,1
25,1.78,Italy,Italy,central-midfield,FALSE,35.0,379,9,1
26,1.83,England,England,centre-back,FALSE,35.0,732,9,1
28,1.82,England,Mali,defensive-midfield,FALSE,35.0,354,6,1
25,1.88,England,Japan,right-back,FALSE,35.0,6,1,?
27,1.85,Netherlands,Netherlands,defensive-midfield,FALSE,35.0,713,9,2
28,1.94,England,Italy,goalkeeper,FALSE,35.0,810,9,?
25,1.9,Italy,Italy,centre-back,FALSE,35.0,630,7,1
26,1.82,England,England,left-winger,FALSE,35.0,521,9,3
28,1.9,England,Cameroon,goalkeeper,FALSE,35.0,900,10,?
25,1.81,England,England,attacking-midfield,FALSE,35.0,215,5,?
25,1.85,Netherlands,Netherlands,central-midfield,FALSE,35.0,672,9,1
26,1.9,England,France,centre-back,FALSE,35.0,415,6,?
26,1.9,England,Mexico,defensive-midfield,FALSE,35.0,381,7,?
27,1.84,England,Brazil,centre-forward,FALSE,35.0,25,2,?
31,1.88,England,Brazil,goalkeeper,FALSE,35.0,810,9,?
25,1.95,Italy,Italy,centre-forward,FALSE,35.0,?,?,?
27,1.87,England,Uruguay,defensive-midfield,FALSE,35.0,495,8,?
